,name,src,dst,service,protocol,action,Logging ,comments
34,allow-deall-to-gball,GRPNET-em-de-dusseldorf-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
35,allow-gball-to-esall,GRPNET-em-uk-london-all-001,GRPNET-em-de-dusseldorf-all-001,Any,Any,Permit,Log,Emea Region inter-site
36,allow-itall-to-gball,GRPNET-em-it-milano-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
37,allow-gball-to-itall,GRPNET-em-uk-london-all-001,GRPNET-em-it-milano-all-001,Any,Any,Permit,Log,Emea Region inter-site
38,allow-sifall-to-gball,GRPNET-em-fr-sif-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
39,allow-gball-to-sifall,GRPNET-em-uk-london-all-001,GRPNET-em-fr-sif-all-001,Any,Any,Permit,Log,Emea Region inter-site
40,allow-gball-to-emeaall,GRPNET-em-uk-london-all-001,GRPNET-em-fr-emea-all-001,Any,Any,Permit,Log,Emea Region inter-site
41,allow-emeaall-to-gball,GRPNET-em-fr-emea-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
42,allow-gball-to-jpall,GRPNET-em-uk-london-all-001,GRPNET-jp-jp-kdc-all-001,Any,Any,Permit,Log,Emea Region inter-site
43,allow-jpall-to-gball,GRPNET-jp-jp-kdc-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
44,allow-gball-to-internet,GRPNET-em-uk-london-all-001,Any,Any,Any,Permit,No Log,GBR  Internet Access
45,deny-dewifiguest-to-rfcall,net-em-uk-lon-wifiguest-001,"rfc-10.0.0.0/8
rfc-172.16.0.0/12
rfc-192.168.0.0/16",Any,Any,Deny,Off,GBR Wifi Guest Access Deny RFC
46,allow-dewifiguest-to-internet,net-em-uk-lon-wifiguest-001,Any,Web / Dns,Any,Permit,Off,GBR Wifi Guest Access Allow Web
